imo,timestamp,lat,lon,berth_id,navigational_status
1234567,2022-01-01 05:59:32+00:00,29.33504,-140.45642666666666,,0
1234567,2022-01-01 06:59:55+00:00,29.371993333333332,-140.70849333333334,,0
1234567,2022-01-01 07:59:34+00:00,29.408571666666667,-140.95628166666665,,0
1234567,2022-01-01 08:57:47+00:00,29.44276,-141.19968,,0
1234567,2022-01-01 09:58:37+00:00,29.482013333333335,-141.45612333333332,,0
1234567,2022-01-01 10:59:54+00:00,29.52036,-141.71196999999998,,0
1234567,2022-01-01 11:51:36+00:00,29.551078333333333,-141.93070166666666,,0
1234567,2022-01-01 12:59:52+00:00,29.597021666666667,-142.22037166666667,,0
1234567,2022-01-01 13:57:47+00:00,29.629655,-142.46572166666667,,0
1234567,2022-01-01 14:59:55+00:00,29.667278333333336,-142.72626833333334,,0
1234567,2022-01-01 15:57:16+00:00,29.705553333333334,-142.96692833333333,,0
1234567,2022-01-01 16:52:27+00:00,29.737048333333334,-143.19987333333333,,0
1234567,2022-01-01 17:57:17+00:00,29.77789166666667,-143.47472166666665,,0
1234567,2022-01-01 18:59:07+00:00,29.81384,-143.73298,,0
1234567,2022-01-01 19:59:43+00:00,29.853026666666665,-143.9896466666667,,0
1234567,2022-01-01 20:59:39+00:00,29.890845000000002,-144.24561666666665,,0
1234567,2022-01-01 21:59:45+00:00,29.926373333333334,-144.50473333333332,,0
1234567,2022-01-01 22:56:23+00:00,29.96333333333333,-144.74833333333333,,0
1234567,2022-01-01 23:59:44+00:00,29.99954166666667,-145.02032,,0
1234567,2022-01-02 00:59:54+00:00,30.022348333333333,-145.27887833333335,,0
1234567,2022-01-02 01:57:24+00:00,30.046385,-145.5289283333333,,0
1234567,2022-01-02 02:59:56+00:00,30.06465166666667,-145.79952666666668,,0
1234567,2022-01-02 03:58:46+00:00,30.08761666666667,-146.05499,,0
1234567,2022-01-02 04:56:46+00:00,30.108938333333334,-146.30427999999998,,0
1234567,2022-01-02 05:59:57+00:00,30.132240000000003,-146.57759333333334,,0
1234567,2022-01-02 06:59:56+00:00,30.15316,-146.83675166666666,,0
1234567,2022-01-02 07:59:59+00:00,30.175211666666666,-147.09309,,0
1234567,2022-01-02 08:59:56+00:00,30.197195,-147.34963000000002,,0
1234567,2022-01-02 09:57:56+00:00,30.217978333333335,-147.59564333333336,,0
